l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se,train_time
0.0,45297809.0,950.0,49.0,4.183,4.183,0.2281917098362059,0.24110918567076084,16.38401961326599
1.0,94984572.0,11414.0,19.0,2.867,2.82,0.24157828989944946,0.2861322110808697,14.56388258934021
2.0,8836731.0,36780.0,15.0,4.606,4.606,0.23760018641296762,0.22616131783569068,14.554834604263306
3.0,42419593.0,47276.0,49.0,4.23,4.2065,0.2394007590612602,0.25426497431277034,14.440118551254272
4.0,65448884.0,22469.0,89.0,5.358,5.3345,0.24484744832675467,0.2593146634568907,14.56143307685852
5.0,48244509.0,45985.0,1.0,4.653,4.5825,0.24558623248552625,0.27014392043481705,14.591060638427734
6.0,37429069.0,25919.0,74.0,5.9925,5.9925,0.2319913423671275,0.23720994957198827,14.33186149597168
7.0,45447297.0,821.0,53.0,6.1805,6.1335,0.24549772940013598,0.2617722164528553,14.558692693710327
8.0,78972949.0,34268.0,1.0,4.0655,4.0185,0.23767673130655892,0.2872678756114214,14.547969579696655
9.0,37978421.0,4639.0,53.0,5.076,5.1465,0.28297344622954734,0.24048089571188044,14.607863187789917
10.0,86808840.0,47759.0,33.0,5.7575,5.7575,0.24550538380216397,0.24783244265755433,14.554810762405396
11.0,23771591.0,14853.0,50.0,3.807,3.76,0.24698028919076753,0.2631266821735631,14.660770177841187
12.0,95367783.0,30569.0,67.0,4.794,4.794,0.21621231501875254,0.24011772930590253,14.646652221679688
13.0,97432709.0,43934.0,99.0,5.1935,5.123,0.24612308081627202,0.2940464589306189,14.671212673187256
14.0,9460776.0,29566.0,67.0,5.1465,5.123,0.2425120188843924,0.26110363954844534,14.48341703414917
15.0,618276.0,9050.0,46.0,4.6295,4.6295,0.23589256296799396,0.24493646691360363,14.502914667129517
16.0,87373173.0,24992.0,70.0,5.311,5.311,0.24847635015086356,0.24167091128111648,14.551228523254395
17.0,12109238.0,13730.0,78.0,6.016,6.016,0.247523937180812,0.24538297637476458,14.471362352371216
18.0,38388849.0,3161.0,5.0,2.726,2.726,0.24210733385454689,0.24093131251388045,14.516031265258789
19.0,63232642.0,21543.0,94.0,4.1125,4.0655,0.24501239134588781,0.27092983064566095,14.597193002700806
20.0,11410993.0,22070.0,59.0,4.8175,4.841,0.26649523464149133,0.23110594961564065,14.499665021896362
21.0,68068963.0,49058.0,45.0,5.4285,5.405,0.24573096530125196,0.2506973158867043,14.518277645111084
22.0,3139238.0,27894.0,2.0,5.17,5.1465,0.244429570545937,0.25370541455237966,14.494569778442383
23.0,26984907.0,9490.0,57.0,3.4545,3.478,0.2521925129474404,0.24532539227373465,14.547670364379883
24.0,62778977.0,5916.0,71.0,4.465,4.418,0.24578863854648325,0.27637188080374137,14.58743667602539
25.0,12013639.0,25471.0,86.0,5.7105,5.5695,0.24869498142578556,0.2780131151118353,14.572375774383545
26.0,96788596.0,6321.0,77.0,5.5695,5.593,0.2603279305865898,0.24551473320100992,14.430423021316528
27.0,60011575.0,3322.0,54.0,3.619,3.619,0.23713079999651435,0.23726179737018463,14.635823488235474
28.0,17705759.0,45366.0,25.0,5.405,5.405,0.22888231315479934,0.2319042981326446,14.470884799957275
29.0,52962715.0,45719.0,31.0,5.546,5.4285,0.24706113376729144,0.2973665648120784,14.634707689285278
30.0,67648873.0,30644.0,36.0,3.9245,3.5955,0.23742005157512172,0.2678121488490377,14.589471817016602
31.0,57123287.0,33554.0,13.0,5.5225,5.499,0.24210231866175097,0.2589193336014177,14.558867454528809
32.0,89957062.0,26607.0,3.0,5.123,5.123,0.23912973421620265,0.23630251599877053,14.58470630645752
33.0,29293261.0,16951.0,62.0,4.2535,4.2535,0.23022698537507535,0.23710886357319985,14.48552918434143
34.0,73543007.0,21812.0,77.0,5.734,5.734,0.23793186705749442,0.22683779463609585,14.464590311050415
35.0,78482715.0,28304.0,71.0,5.4755,5.4755,0.24836831271160936,0.24554299419382103,14.573320388793945
36.0,81537936.0,41556.0,90.0,5.6635,5.7105,0.27187748870040807,0.24852774804705452,14.611749410629272
37.0,60984002.0,30282.0,74.0,6.0395,6.016,0.24264164513598052,0.25685469552672424,14.519299268722534
38.0,61830852.0,19508.0,4.0,5.3345,5.3345,0.23353326777599542,0.2362637377569229,14.58424425125122
39.0,33668637.0,5564.0,76.0,5.3345,5.3345,0.23533931935299507,0.22198638285551184,14.594515562057495
40.0,77874330.0,24286.0,44.0,5.64,5.6635,0.25209904361300595,0.24056035068548393,14.440200328826904
41.0,33395723.0,30923.0,57.0,3.8775,3.948,0.28379404588821266,0.24954222946651144,14.557448387145996
42.0,53722492.0,31481.0,23.0,4.6295,4.606,0.23190776553174064,0.2501070822242852,14.590769529342651
43.0,43047087.0,9636.0,23.0,4.653,4.6295,0.24167470397937213,0.2616739214734431,14.613301992416382
